Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100)
556,James Brooks Jr.,"React, SQL, Java, C++",1,PhD,None,Software Engineer,Reject,50422,1,35
1492,Candidate 1492,"Java, SQL, React",13,MBA,None,Data Scientist,Hire,36633,13,99
528,Cheryl Morton,"Ethical Hacking, Networking, Linux",0,B.Tech,Google ML,Cybersecurity Analyst,Hire,99469,9,70
1926,Candidate 1926,"Machine Learning, Python, Deep Learning",5,M.Tech,Google ML,Software Engineer,Hire,102752,3,28
990,Tracy Jennings,"Networking, Cybersecurity, Ethical Hacking, Linux",9,MBA,AWS Certified,Cybersecurity Analyst,Hire,45660,9,100
71,Taylor Wright,"Pytorch, TensorFlow, NLP",8,PhD,Deep Learning Specialization,AI Researcher,Hire,50670,0,100
1757,Candidate 1757,"Ethical Hacking, Cybersecurity, Networking",2,B.Sc,None,Cybersecurity Analyst,Reject,132404,14,95
212,Denise Davenport,"Networking, Linux, Ethical Hacking",7,B.Tech,Google ML,Cybersecurity Analyst,Hire,96689,3,100
197,John Mendoza,"Python, Deep Learning",8,PhD,None,Data Scientist,Hire,69641,10,100
804,Jason West,"SQL, C++",1,B.Tech,AWS Certified,Software Engineer,Hire,45422,10,80
1410,Candidate 1410,"Pytorch, TensorFlow, Python",3,B.Tech,AWS Certified,Cybersecurity Analyst,Reject,46796,18,94
1837,Candidate 1837,"SQL, Java, C++, React",18,M.Tech,Google ML,Software Engineer,Reject,66519,12,67
1147,Candidate 1147,"NLP, Python, TensorFlow",10,B.Tech,Google ML,Cybersecurity Analyst,Reject,55853,10,57
1499,Candidate 1499,"Python, Pytorch, NLP, TensorFlow",14,PhD,Google ML,Data Scientist,Hire,46385,20,97
1859,Candidate 1859,"Ethical Hacking, Networking, Linux, Cybersecurity",10,B.Sc,None,AI Researcher,Hire,114244,17,8
1483,Candidate 1483,"Cybersecurity, Linux, Networking, Ethical Hacking",7,PhD,Google ML,Data Scientist,Hire,76047,20,65
1186,Candidate 1186,"C++, Java, React",18,MBA,AWS Certified,Cybersecurity Analyst,Hire,31336,6,96
472,Claire Harris,"SQL, Deep Learning, Machine Learning, Python",1,PhD,None,Data Scientist,Reject,84161,6,60
595,Katelyn Durham,"Pytorch, Python, TensorFlow",7,B.Sc,None,AI Researcher,Hire,53796,3,100
322,Jennifer Padilla,"Networking, Linux, Cybersecurity, Ethical Hacking",5,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,102150,3,95
1418,Candidate 1418,"SQL, Python",0,B.Tech,Google ML,Software Engineer,Reject,92908,4,100
1675,Candidate 1675,"Ethical Hacking, Cybersecurity",20,B.Sc,Deep Learning Specialization,AI Researcher,Hire,104086,3,97
1591,Candidate 1591,"Cybersecurity, Networking, Linux, Ethical Hacking",0,B.Tech,AWS Certified,Software Engineer,Hire,133470,6,49
1704,Candidate 1704,"React, SQL, Java, C++",4,PhD,Google ML,Data Scientist,Hire,126823,15,23
541,Michael Santos,"SQL, Java, C++, React",5,M.Tech,Deep Learning Specialization,Software Engineer,Hire,111578,9,100
206,Timothy Caldwell,"NLP, Pytorch, Python, TensorFlow",10,B.Sc,None,AI Researcher,Hire,43594,4,100
1888,Candidate 1888,"Machine Learning, Python",15,B.Tech,None,Cybersecurity Analyst,Hire,59524,14,13
1249,Candidate 1249,"Machine Learning, Python",9,B.Sc,Google ML,Data Scientist,Hire,86215,10,19
132,Rebecca Reynolds,"Java, C++, SQL",0,B.Sc,None,Software Engineer,Reject,103202,3,30
1256,Candidate 1256,"C++, Java, React",10,MBA,AWS Certified,AI Researcher,Hire,88796,15,7
300,Robin Mcgrath,"Python, Pytorch, TensorFlow",1,M.Tech,None,AI Researcher,Hire,88349,10,75
1227,Candidate 1227,"Pytorch, TensorFlow, Python, NLP",15,PhD,Google ML,Software Engineer,Hire,68988,19,34
1919,Candidate 1919,"Machine Learning, Python, Deep Learning",20,B.Tech,Google ML,Data Scientist,Reject,94600,5,1
465,Steven White,"Ethical Hacking, Networking",10,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,71504,6,100
384,Melissa Wheeler,"TensorFlow, Python, NLP, Pytorch",4,B.Tech,None,AI Researcher,Hire,94202,4,80
150,Shannon Johnson,"Python, Machine Learning",9,B.Sc,Google ML,Data Scientist,Hire,83152,2,100
